Year,MeanTemp,BloomStartDay,BloomPeakDay,BloomDuration,BloomMagnitude,BloomAmplitude,MeanStratification
1995,20.0870960137342,165,165,118,50170.08916666667,672.75,1.0117669776702807
1996,19.9445656873357,87,113,159,73717.0525,1119.81,1.2449725889260423
1997,20.1499955870445,51,162,204,124370.69583333333,927.96,1.7408179502217378
1998,20.4259327133553,68,59,185,120348.69333333333,1038.17,1.1487003236904993
1999,20.7686271672249,55,98,160,108270.0075,1217.4,1.1690601413569197
2000,20.9578686716381,158,102,134,61298.44499999999,565.23,1.1831252171162119
2001,20.8126191118606,79,108,210,132547.2625,1105.51,1.1812955221520427
2002,21.313884215152,94,78,166,102518.25416666668,887.57,1.3578409367707083
2003,21.2294473825195,81,80,198,115506.075,1234.43,1.4193839488639437
2004,20.9952454913739,112,54,175,120632.52,949.59,1.2347515065471235
2005,20.3819717438141,79,66,142,96875.22750000002,1263.385,1.0011646001023868
2006,20.8140075144744,52,39,168,81989.49,1074.48,1.6063295901469279
2007,20.5221723224173,92,79,137,74828.43375,899.39,1.168427748895275
2008,20.7150854252268,53,150,174,91587.005,1196.17,1.258680970863915
2009,21.3430781599187,162,283,121,72619.804375,896.655,1.2970391666230978
2010,20.3871868475888,113,69,166,106458.72,904.93,1.3062966426821538
2011,20.795681078367,137,97,168,110544.37875,1261.5275,1.4316242893943523
2012,20.9922341975244,140,117,178,114438.2275,952.945,1.36706236975722
2013,20.394950873814,96,56,195,143006.97,1037.7,1.2807749901492327
2014,21.402231604678,119,64,182,119682.23,970.62,1.3818345177575484
2015,21.191848692511,113,230,220,111017.68625000001,853.6925,1.4261623869408846
2016,21.4059956370357,105,125,188,71287.57875000002,963.32,1.0849466650237298
