"date","DryBiomass","Month","Year"
1995-05-10,554.71,5,1995
1995-05-11,482.22,5,1995
1995-06-13,433.24,6,1995
1995-06-14,672.75,6,1995
1995-07-11,573.87,7,1995
1995-08-18,387.325,8,1995
1995-09-12,241.996666666667,9,1995
1995-10-10,273.11,10,1995
1995-11-06,180.76,11,1995
1995-12-15,556.24,12,1995
1996-01-30,295.6,1,1996
1996-02-14,291.92,2,1996
1996-02-27,575.81,2,1996
1996-02-28,249.76,2,1996
1996-03-15,330.893333333333,3,1996
1996-03-27,538,3,1996
1996-03-28,336.53,3,1996
1996-04-09,849.225,4,1996
1996-04-22,1119.81,4,1996
1996-04-23,962.47,4,1996
1996-05-06,397.16,5,1996
1996-05-07,455.03,5,1996
1996-06-10,226.33,6,1996
1996-08-05,448.06,8,1996
1996-09-02,451.63,9,1996
1996-10-08,435.825,10,1996
1996-11-05,377.33,11,1996
1996-12-11,879.82,12,1996
1996-12-14,637.76,12,1996
1997-01-13,304.095,1,1997
1997-01-27,453.7,1,1997
1997-01-28,234.53,1,1997
1997-02-06,491.57,2,1997
1997-02-07,333.75,2,1997
1997-02-20,552.09,2,1997
1997-03-04,442.95,3,1997
1997-03-18,492.54,3,1997
1997-03-19,280.91,3,1997
1997-04-08,547.96,4,1997
1997-05-05,635.865,5,1997
1997-06-11,927.96,6,1997
1997-07-15,537.08,7,1997
1997-08-11,514.246666666667,8,1997
1997-09-11,690.09,9,1997
1997-09-12,306.695,9,1997
1997-10-06,415.156666666667,10,1997
1997-11-11,350.03,11,1997
1997-11-14,365.21,11,1997
1997-12-09,586.823333333333,12,1997
1998-01-12,463.82,1,1998
1998-01-13,401.18,1,1998
1998-01-14,373.99,1,1998
1998-02-11,712.48,2,1998
1998-02-28,1246.5,2,1998
1998-03-09,925.35,3,1998
1998-03-13,742.19,3,1998
1998-03-25,686.71,3,1998
1998-04-07,1038.17,4,1998
1998-05-06,257.81,5,1998
1998-06-02,911.42,6,1998
1998-06-03,638.03,6,1998
1998-07-08,886.453333333333,7,1998
1998-08-10,470.02,8,1998
1998-09-08,359.93,9,1998
1998-09-10,422.98,9,1998
1998-10-22,143.5,10,1998
1998-11-18,508.665,11,1998
1998-11-19,348.93,11,1998
1998-12-07,413.645,12,1998
1998-12-08,247.27,12,1998
1999-01-14,314.065,1,1999
1999-01-15,108.88,1,1999
1999-01-27,184.406666666667,1,1999
1999-01-28,256.66,1,1999
